,zip_code,ID,area,len
0,90001,1,95563401.53202905,48677.278477836226
1,90002,2,82752224.01450214,44972.01703447213
2,90003,3,102643123.14497332,63303.48175850841
3,90004,4,83956967.23411876,52471.897634685316
4,90005,5,36885814.332347654,88978.01112803166
5,90006,6,53703662.40309005,37832.45480094352
6,90007,7,68596085.98790586,57886.26997572079
7,90008,8,106644565.28326905,59093.418682425734
8,90010,9,4555114.650663612,42372.009839561
9,90011,10,119579543.02275786,57120.06467113248
10,90012,12,97163992.25026105,54830.61061455255
11,90013,2769,18667346.76996447,27153.27252362343
12,90014,13,7917526.068143083,14875.295283389516
13,90015,14,46602624.31503979,37381.5864863882
14,90016,15,103266621.82654637,57294.145176310994
15,90017,16,19807345.013683293,24579.72699332094
16,90018,17,83025065.79418042,44601.27497413117
17,90019,18,106758471.96428783,66607.66262820871
18,90020,19,32961671.812503178,41832.399273105686
19,90021,20,57382616.77704802,38396.768107895434
20,90022,21,118832976.58017385,60796.0164441832
21,90023,22,159187490.6448883,78312.763351699
22,90024,23,81821002.54066071,59099.36935599784
23,90025,24,69502027.71456861,61701.203222282915
24,90026,25,114071667.35940516,65681.06899004053
25,90027,26,240682382.717637,80042.70300396041
26,90028,27,43287307.96096895,40223.521141175435
27,90029,28,39819876.05231495,35471.19448433605
28,90031,29,106239041.30617517,79588.41185986232
29,90032,30,140227856.0298554,66300.14996001044
30,90033,31,85104880.37885667,45641.602149136175
31,90034,32,86401301.02064104,56671.572994269074
32,90035,33,57209188.43202497,43983.58565740247
33,90036,34,69593162.03351988,41354.98165163912
34,90037,35,81432298.75439373,48129.42889949208
35,90038,36,42456299.59712843,39784.557384405474
36,90039,37,113014223.20409964,69937.0604392847
37,90040,38,154837011.0932386,83607.82550202882
38,90041,39,98934408.456583,68444.46205596179
39,90042,40,126051522.50232162,69418.50815204228
40,90043,41,113286768.59979782,57259.134022794606
41,90044,42,139674730.05842578,82316.22777620712
42,90045,43,305820018.8637252,98726.59832236372
43,90046,44,157746549.212059,86575.37825797105
44,90047,45,134213045.97884384,77331.59323313774
45,90048,46,51266833.47657965,42281.16376827159
46,90049,47,426414819.8862758,132308.72240636617
47,90056,48,43781557.24702104,37127.55577006681
48,90057,49,25909144.350747086,26195.11626512308
49,90058,50,131647587.9253867,92632.01048096751
50,90059,51,93135767.77896972,66238.9472471795
51,90061,52,76648929.35140787,52266.48757821203
52,90062,53,52544723.60222512,36684.79352527334
53,90063,54,93436930.37604131,54052.13906684353
54,90064,55,110414356.2306261,65690.78766583747
55,90065,56,145389928.3467406,83157.70257169595
56,90066,57,139512530.34871498,69889.16119919674
57,90067,58,10353515.966733607,15765.281469982934
58,90068,59,205592864.86487377,86280.16951892171
59,90069,60,60101434.16512457,45167.325829601396
60,90071,61,4040733.4467486884,8750.62080790815
61,90073,62,17737982.915535223,27361.19920405895
62,90077,63,201734547.4613451,90139.71217977752
63,90089,64,7188822.482005062,12256.82834102104
64,90094,65,33728277.836124144,49434.59967529275
65,90095,66,9051774.866863389,13510.441404236703
66,90201,67,175806946.04394135,91501.69918211082
67,90210,68,302058172.74709934,107987.13191633526
68,90211,69,19584945.037881944,24391.04377963443
69,90212,70,25163960.229563933,25920.486770685522
70,90220,71,189068383.38366163,76544.46362911096
71,90221,72,149356841.74581903,84538.47081704004
72,90222,73,71883479.90483938,45326.19294794466
73,90230,74,120572532.56523676,66927.62923750975
74,90232,75,62235268.03095441,57013.59740929954
75,90240,76,86107367.43240447,54224.31988213642
76,90241,77,139469207.2450751,75882.71657343223
77,90242,78,123979641.93469049,70243.78423854317
78,90245,79,152778226.98991063,57324.78249001569
79,90247,80,103625460.48354568,61356.49887439565
80,90248,81,130974604.13773356,92105.6666650815
81,90249,82,84357415.26335527,48262.350168209545
82,90250,83,184910190.04961354,89575.3780082718
83,90254,84,40252305.7081761,28450.075228451224
84,90255,85,103927448.16234331,72266.75172045533
85,90260,86,71920459.88968839,49645.766489282105
86,90261,87,561318.7238165279,3226.0120334200587
87,90262,88,137311591.07192686,77669.70317618862
88,90263,89,11434394.158319378,20517.328127008586
89,90265,90,2262557490.0506296,351519.3490791627
90,90266,91,108935825.48837017,47964.418691905026
91,90270,92,33089319.724763595,30409.066130329647
92,90272,93,677611374.9355112,140439.5203110955
93,90274,94,334971572.750014,185438.98036948254
94,90275,95,372270445.28066117,206572.37460385365
95,90277,96,102511900.9189119,57802.92055614882
